process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,direction,direction_order_index,deadline_miss_rate,post_warmup_deadline_miss_rate,presentation_misses,page_read_p95_ms,queue_delay_p95_ms,late_completion_p95_ms,file_reads,file_bytes,tensorstore_cache_hits,tensorstore_cache_misses,tensorstore_cache_evictions,peak_concurrent_field_reads,scheduler_promotions,scheduler_cancellations,speculative_pages,useful_speculative_pages,useful_speculative_ratio,presentation_cache_evictions,presentation_cache_peak_bytes,peak_rss_bytes
16,0,001,hybrid,0,0.0,700,1.0,reverse,0,0.0,0.0,0,5.150958,8.478125,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36569088
17,1,001,hybrid,0,0.0,350,0.5,forward,1,0.0,0.0,0,2.597417,2.809,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35766272
17,1,001,hybrid,0,0.0,350,0.5,reverse,0,0.0,0.0,0,3.105584,0.65575,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,35766272
18,2,001,hybrid,0,0.0,0,0.0,forward,1,0.0,0.0,0,11.946,0.156292,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35782656
18,2,001,hybrid,0,0.0,0,0.0,reverse,0,0.0,0.0,0,3.636417,0.213667,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35684352
19,3,001,hybrid,134217728,128.0,700,1.0,forward,1,0.0,0.0,0,0.745583,2.095792,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43761664
19,3,001,hybrid,134217728,128.0,700,1.0,reverse,0,0.0,0.0,0,0.961959,0.571167,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43696128
20,4,001,hybrid,134217728,128.0,350,0.5,forward,1,0.0,0.0,0,1.059125,0.569875,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43712512
20,4,001,hybrid,134217728,128.0,350,0.5,reverse,0,0.0,0.0,0,1.521,0.189959,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43696128
21,5,001,regular,134217728,128.0,0,0.0,forward,1,0.0,0.0,0,0.704792,0.116709,0.0,0,0,150,0,0,3,0,0,0,0,0.0,18,53760,45268992
21,5,001,regular,134217728,128.0,0,0.0,reverse,0,0.0,0.0,0,1.745667,0.164959,0.0,3,603167,147,3,0,3,0,0,0,0,0.0,18,53760,45236224
22,6,001,hybrid,134217728,128.0,0,0.0,forward,1,0.0,0.0,0,0.8665,0.11825,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43843584
22,6,001,hybrid,134217728,128.0,0,0.0,reverse,0,0.0,0.0,0,0.707,0.101,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43810816
23,7,001,hybrid,67108864,64.0,700,1.0,forward,1,0.0,0.0,0,1.383458,1.355666,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43417600
23,7,001,hybrid,67108864,64.0,700,1.0,reverse,0,0.0,0.0,0,0.723875,0.551,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43368448
24,8,001,hybrid,67108864,64.0,350,0.5,forward,1,0.0,0.0,0,0.931292,0.40875,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43728896
24,8,001,hybrid,67108864,64.0,350,0.5,reverse,0,0.0,0.0,0,0.760917,0.284792,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43696128
25,9,001,hybrid,67108864,64.0,0,0.0,forward,1,0.0,0.0,0,0.596417,0.078291,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43778048
25,9,001,hybrid,67108864,64.0,0,0.0,reverse,0,0.0,0.0,0,1.131125,0.2665,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43745280
