process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,seek_count,cancellation_p95_ms,post_cancel_file_bytes_p95,post_cancel_file_bytes_total,discarded_after_read,stale_publications,peak_rss_bytes
54,6,003,hybrid,0,0.0,700,1.0,8,15.126291,79828.0,509638.0,8,0,35733504
55,7,003,hybrid,0,0.0,350,0.5,8,25.300041,79828.0,509638.0,8,0,35340288
56,8,003,hybrid,0,0.0,0,0.0,8,31.034042,79828.0,509638.0,8,0,35700736
57,9,003,hybrid,134217728,128.0,700,1.0,8,148.507834,78204.0,498702.0,8,0,46006272
58,10,003,hybrid,134217728,128.0,350,0.5,8,97.192541,78204.0,498702.0,8,0,46071808
59,11,003,hybrid,134217728,128.0,0,0.0,8,27.17825,78204.0,498702.0,8,0,45105152
60,12,003,hybrid,67108864,64.0,700,1.0,8,28.017292,78204.0,498702.0,8,0,46153728
61,13,003,hybrid,67108864,64.0,350,0.5,8,169.707667,78204.0,498702.0,8,0,46120960
62,14,003,hybrid,67108864,64.0,0,0.0,8,28.44775,78204.0,498702.0,8,0,46153728
63,15,003,regular,134217728,128.0,0,0.0,8,173.16175,598041.0,2390498.0,8,0,56705024
64,0,004,hybrid,134217728,128.0,0,0.0,8,194.533667,78204.0,498702.0,8,0,45056000
65,1,004,hybrid,134217728,128.0,350,0.5,8,19.609333,78204.0,498702.0,8,0,46039040
66,2,004,hybrid,134217728,128.0,700,1.0,8,18.291708,78204.0,498702.0,8,0,46104576
67,3,004,hybrid,0,0.0,0,0.0,8,16.293458,79828.0,509638.0,8,0,35635200
68,4,004,regular,134217728,128.0,0,0.0,8,244.858167,598041.0,2390498.0,8,0,56655872
69,5,004,hybrid,0,0.0,350,0.5,8,43.7315,79828.0,509638.0,8,0,37142528
70,6,004,hybrid,0,0.0,700,1.0,8,16.944584,79828.0,509638.0,8,0,36749312
71,7,004,hybrid,16777216,16.0,0,0.0,8,121.744333,78204.0,498702.0,8,0,45989888
72,8,004,hybrid,16777216,16.0,350,0.5,8,48.612125,78204.0,498702.0,8,0,46153728
73,9,004,hybrid,16777216,16.0,700,1.0,8,85.655875,78204.0,498702.0,8,0,46088192
74,10,004,hybrid,33554432,32.0,0,0.0,8,30.664875,78204.0,498702.0,8,0,45809664
75,11,004,hybrid,33554432,32.0,350,0.5,8,118.026958,78204.0,498702.0,8,0,46022656
76,12,004,hybrid,33554432,32.0,700,1.0,8,42.756875,78204.0,498702.0,8,0,46170112
77,13,004,hybrid,67108864,64.0,0,0.0,8,72.913792,78204.0,498702.0,8,0,46022656
78,14,004,hybrid,67108864,64.0,350,0.5,8,15.423333,78204.0,498702.0,8,0,45776896
79,15,004,hybrid,67108864,64.0,700,1.0,8,124.632,78204.0,498702.0,8,0,46055424
