repetition,cache_bytes,cache_mib,layout,mode,workload,pass_index,cache_condition,requested_units,selected_instance_rows,logical_bytes,read_ms,wall_ms,p50_unit_ms,p95_unit_ms,max_unit_ms,storage_frames_per_second,file_reads,file_batch_reads,file_bytes,cache_hits,cache_misses,cache_evictions,value_digest
000,0,0.0,hybrid,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,2571.094955999997,2736.5275,1.143499,1.2510409999999998,49.709499,462059.94734952966,26053,23786,652860428,0,41378,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,0,0.0,hybrid,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,2061.921503999999,2227.254583,1.1438329999999999,1.2293319999999999,46.840626,576161.6034826515,26053,23786,652860428,0,41378,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,0,0.0,hybrid,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,891.1665549999977,952.083875,0.373166,0.405875,14.458459,1333084.1393615843,8672,6796,109306347,0,15502,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,0,0.0,hybrid,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,789.6701999999996,850.67925,0.3805,0.42854200000000003,134.599,1504425.5183999606,8672,6796,109306347,0,15502,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,0,0.0,hybrid,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,661.143377999997,723.087667,0.382625,0.408792,14.0075,1796887.0891421156,8672,6796,109306347,0,15502,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
000,0,0.0,hybrid,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,649.0370779999994,711.358959,0.383126,0.409875,0.529999,1830403.9018245444,8672,6796,109306347,0,15502,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
000,134217728,128.0,hybrid,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,102.68991900000005,102.9245,0.27016500000000004,0.8536679999999999,49.113122999999995,,311,311,17239676,2028,321,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,134217728,128.0,hybrid,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,10.826270999999966,11.031875,0.08316899999999999,0.09424999999999999,0.11783300000000001,,0,0,0,2048,0,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
000,134217728,128.0,hybrid,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,24.624835000000022,24.766,0.18470799999999998,0.413583,0.634292,,126,125,3495942,758,166,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
000,134217728,128.0,hybrid,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,3.9134219999999997,3.984417,0.030541,0.03325,0.036916,,0,0,0,768,0,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
000,134217728,128.0,hybrid,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,72.10517200000002,72.489542,0.086086,0.8509159999999999,36.027001000000006,,64,64,2248061,1024,66,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
000,134217728,128.0,hybrid,full,random_ranges_contract,1,workload_immediate_repeat_shared_process_cache,64,2048,139264,5.356160000000008,5.739625,0.08204199999999999,0.10179200000000001,0.128459,,0,0,0,1024,0,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
000,134217728,128.0,hybrid,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,132.7998769999998,298.616,0.07208400000000001,0.08441799999999998,0.6822499999999999,8945791.418165257,59,59,2376035,27787,59,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,134217728,128.0,hybrid,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,121.78868900000055,286.859375,0.07062600000000001,0.078875,0.10695799999999998,9754600.445694877,0,0,0,27787,0,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
000,134217728,128.0,hybrid,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,54.804138000000094,115.7045,0.027791999999999997,0.036084,0.32529099999999994,21677195.251205266,38,38,831371,10406,38,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,134217728,128.0,hybrid,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,46.551985000000165,108.133625,0.026875000000000003,0.031,0.051333000000000004,25519856.994282752,0,0,0,10406,0,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
000,134217728,128.0,hybrid,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,45.902857000000004,106.744,0.026542000000000003,0.029875,0.044584,25880742.020044632,0,0,0,10406,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
000,134217728,128.0,hybrid,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,45.89792000000022,106.82875,0.026624000000000002,0.030376,0.041834,25883525.87655376,0,0,0,10406,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
